District,School,num.outlets,outletsUnder15,outletsOver15,oos,BEDS,School Street ,School City,School State,percent.bad
SYRACUSE CITY SCHOOLS,MCKINLEY-BRGHTON MAGNET SCH,124,123,1,Yes,421800010042,141 W. NEWELL ST,SYRACUSE,NY,0.8
WEST GENESEE CSD AT CAMILLUS,WEST GENESEE MIDDLE SCHOOL,102,92,18,Yes,420101060008,500 SANDERSON RD,CAMILLUS,NY,17.6
SYRACUSE CITY SCHOOLS,WEST SIDE ACADEMY AT BLODGETT,74,54,20,Yes,421800010060,312 OSWEGO ST,SYRACUSE,NY,27.0
SKANEATELES CENTRAL SCHOOL,STATE STREET INTERMEDIATE SCHOOL,74,76,7,Yes,421601060004,72 STATE ST,SKANEATELES,NY,9.5
SOLVAY UNION FREE SCHOOL,SOLVAY MIDDLE SCHOOL,22,53,0,Yes,420702030007,299 BURY DRIVE,SYRACUSE,NY,0.0
TULLY CENTRAL SCHOOL,TULLY J S H S,152,130,23,Yes,421902040001,ELM ST,TULLY,NY,15.1
SOLVAY UNION FREE SCHOOL,SOLVAY H S,22,47,0,Yes,420702030004,600 GERTRUDE AVE,SOLVAY,NY,0.0
SYRACUSE CITY SCHOOLS,PERCY HUGHES SCHOOL,98,97,1,Yes,421800010025,345 JAMESVILLE AVE,SYRACUSE,NY,1.0
TULLY CENTRAL SCHOOL,TULLY ELEM SCHOOL,92,71,12,Yes,421902040002,20 STATE ST,TULLY,NY,13.0
WEST GENESEE CSD AT CAMILLUS,CAMILLUS MIDDLE SCHOOL,183,105,86,Yes,420101060011,5525 IKE DIXON RD,CAMILLUS,NY,47.0
WEST GENESEE CSD AT CAMILLUS,STONEHEDGE SCHOOL,172,183,1,Yes,420101060003,400 SANDERSON DR,CAMILLUS,NY,0.6
WEST GENESEE CSD AT CAMILLUS,WEST GENESEE S H S,160,173,2,Yes,420101060009,5201 W GENESEE ST,CAMILLUS,NY,1.3
SYRACUSE CITY SCHOOLS,INSTITUTE OF TECHNOLOGY,91,,,No,421800010047,258 E. Adams St.,SYRACUSE,NY,0.0
SYRACUSE CITY SCHOOLS,VAN DUYN SCHOOL,79,78,1,Yes,421800010006,401 LOOMIS AVE,SYRACUSE,NY,1.3
