School District,School,County,Type of Organization,Number of Outlets,Any Buildings with Lead-Free Plumbing?,Previously Sampled Outlets,Outlets Waiver Requested,Waivers Granted,Outlets Sampled After Regulation,Sampling Complete,Sampling Completion Date,"Number of Outlets, Result ≤ 15 ppb","Number of Outlets, Result > 15 ppb",Out of Service,"All Results Received	",Date All Results Received,"School Website	",BEDS Code,School Street ,School City,School State,School Zip Code,Date Sampling Updated,Date Results Updated,County Location,Location
EAST SYRACUSE-MINOA CENTRAL SCHOOL,PINE GROVE MIDDLE SCHOOL,Onondaga,Public School,128,No,0,0,0,128,Yes,10/28/2016,122,6,Yes,Yes,12/21/2016,http://esmschools.org,420401060010.00,600 N. Main St.,Minoa,NY,13116,12/21/2016,1/5/2017,"(43.065629, -76.168033)","600 N Main St
Minoa, NY 13116
(43.080879389000074, -76.00097059399997)"
JAMESVILLE-DEWITT CENTRAL SCHOOL,JAMESVILLE ELEM SCHOOL,Onondaga,Public School,99,No,0,0,0,99,Yes,9/23/2016,96,3,Yes,Yes,11/23/2016,http://jamesvilledewitt.org,420411060002.00,E SENECA TPKE,JAMESVILLE,NY,13078,11/30/2016,11/30/2016,"(43.065629, -76.168033)","E SENECA TPKE JAMESVILLE, NY 13078
(42.99322689500008, -76.11528499799994)"
JAMESVILLE-DEWITT CENTRAL SCHOOL,MOSES DEWITT ELEM SCHOOL,Onondaga,Public School,52,No,0,0,0,52,Yes,9/21/2016,49,3,Yes,Yes,11/3/2016,http://jamesviiledewitt.org,420411060003.00,JAMESVILLE RD,DEWITT,NY,13214,11/4/2016,11/4/2016,"(43.065629, -76.168033)","JAMESVILLE RD DEWITT, NY 13214
(43.040584323000076, -76.07031386699998)"
JAMESVILLE-DEWITT CENTRAL SCHOOL,TECUMSEH ELEMENTARY SCHOOL,Onondaga,Public School,93,No,0,0,0,93,Yes,9/22/2016,92,1,Yes,Yes,10/18/2016,http://jamesvilledewitt.org,420411060004.00,NOTTINGHAM RD,JAMESVILLE,NY,13078,10/25/2016,10/25/2016,"(43.065629, -76.168033)","NOTTINGHAM RD JAMESVILLE, NY 13078
(42.99322689500008, -76.11528499799994)"
JAMESVILLE-DEWITT CENTRAL SCHOOL,JAMESVILLE-DEWITT MID SCH,Onondaga,Public School,177,No,0,0,0,177,Yes,9/20/2016,175,2,Yes,Yes,11/28/2016,http://jamesvilledewitt.org,420411060005.00,RANDALL RD,JAMESVILLE,NY,13078,11/30/2016,11/30/2016,"(43.065629, -76.168033)","RANDALL RD JAMESVILLE, NY 13078
(42.99322689500008, -76.11528499799994)"
JAMESVILLE-DEWITT CENTRAL SCHOOL,JAMESVILLE-DEWITT H S,Onondaga,Public School,137,No,0,0,0,137,Yes,10/21/2016,128,6,Yes,Yes,11/30/2016,http://jamesvilledewitt.org,420411060006.00,EDINGER DR,DEWITT,NY,13214,11/18/2016,11/30/2016,"(43.065629, -76.168033)","EDINGER DR DEWITT, NY 13214
(43.040584323000076, -76.07031386699998)"
JORDAN ELBRIDGE CENTRAL SCHOOL,ELBRIDGE ELEM SCHOOL,Onondaga,Public School,115,No,37,0,0,78,Yes,11/5/2016,37,0,Yes,Yes,5/2/2016,http://www.jecsd.org,420501060001.00,130 E  MAIN ST,ELBRIDGE,NY,13060,11/9/2016,10/31/2016,"(43.065629, -76.168033)","130 E MAIN ST
ELBRIDGE, NY 13060
(43.03531225200004, -76.44314577699998)"
JORDAN ELBRIDGE CENTRAL SCHOOL,JORDAN ELBRIDGE HIGH SCHOOL,Onondaga,Public School,70,No,32,0,0,0,No,,29,3,Yes,Yes,5/5/2016,http://www.jecsd.org,420501060003.00,5721 Hamilton Rd,Jordan,NY,13080,11/9/2016,11/9/2016,"(43.065629, -76.168033)","5721 Hamilton Rd
Jordan, NY 13080
(43.04627176500003, -76.47110693099995)"
JORDAN ELBRIDGE CENTRAL SCHOOL,JORDAN ELBRIDGE MS,Onondaga,Public School,89,No,42,0,0,0,No,,41,1,Yes,Yes,5/5/2016,http://www.jecsd.org,420501060004.00,9 CHAPPELL ST,JORDAN,NY,13080,11/9/2016,11/9/2016,"(43.065629, -76.168033)","9 CHAPPELL ST
JORDAN, NY 13080
(43.067039898000075, -76.47052641399995)"
FABIUS-POMPEY CENTRAL SCHOOL,FABIUS-POMPEY ELEMENTARY SCHOOL,Onondaga,Public School,,No,,,,,No,,74,19,Yes,Yes,10/27/2016,,420601040001.00,7800 MAIN ST.,FABIUS,NY,13063,,11/15/2016,"(43.065629, -76.168033)","7800 MAIN ST
FABIUS, NY 13063
(42.83504208900007, -75.98578801399998)"
