sw,tier,Gender,Ethnicity,IEP,ELL,enrolled15,absences15,presences15,enrolled16,absences16,presences16
2,Elementary,Male,White,Yes,1,45,1,44,55,1,54
2,High,Female,Black,No,0,4068,286,3782,4007,221,3786
2,High,Female,Black,No,1,617,34,583,676,12,664
2,High,Female,Black,Yes,0,841,65,776,852,52,800
2,High,Female,Black,Yes,1,63,2,61,68,1,67
2,High,Female,Hispanic,No,0,659,65,594,619,35,584
2,High,Female,Hispanic,No,1,408,65,343,421,33,388
2,High,Female,Hispanic,Yes,0,121,31,90,95,15,80
2,High,Female,Hispanic,Yes,1,110,25,85,90,5,85
2,High,Female,Other,No,0,407,26,381,369,17,352
2,High,Female,Other,No,1,956,78,878,924,52,872
2,High,Female,Other,Yes,0,57,10,47,50,6,44
2,High,Female,Other,Yes,1,20,2,18,25,1,24
2,High,Female,White,No,0,1908,130,1778,1849,114,1735
2,High,Female,White,No,1,228,27,201,225,11,214
2,High,Female,White,Yes,0,504,54,450,408,34,374
2,High,Male,Black,No,0,3593,255,3338,3161,183,2978
2,High,Male,Black,No,1,645,30,615,631,11,620
2,High,Male,Black,Yes,0,1458,157,1301,1371,133,1238
2,High,Male,Black,Yes,1,70,11,59,73,1,72
2,High,Male,Hispanic,No,0,452,51,401,375,26,349
2,High,Male,Hispanic,No,1,489,76,413,455,49,406
2,High,Male,Hispanic,Yes,0,170,32,138,129,6,123
2,High,Male,Hispanic,Yes,1,193,41,152,195,25,170
2,High,Male,Other,No,0,282,17,265,326,15,311
2,High,Male,Other,No,1,1001,92,909,927,60,867
2,High,Male,Other,Yes,0,155,14,141,140,7,133
2,High,Male,Other,Yes,1,25,2,23,38,0,38
2,High,Male,White,No,0,1472,74,1398,1506,64,1442
2,High,Male,White,No,1,260,30,230,225,16,209
2,High,Male,White,Yes,0,643,73,570,555,41,514
2,High,Male,White,Yes,1,10,0,10,9,4,5
2,Middle,Female,Black,No,0,2517,72,2445,3231,89,3142
2,Middle,Female,Black,No,1,397,6,391,530,10,520
2,Middle,Female,Black,Yes,0,452,15,437,534,29,505
2,Middle,Female,Black,Yes,1,30,7,23,55,0,55
2,Middle,Female,Hispanic,No,0,413,15,398,499,14,485
2,Middle,Female,Hispanic,No,1,220,6,214,238,4,234
2,Middle,Female,Hispanic,Yes,0,62,4,58,95,7,88
2,Middle,Female,Hispanic,Yes,1,50,4,46,80,2,78
2,Middle,Female,Other,No,0,343,11,332,360,13,347
2,Middle,Female,Other,No,1,522,3,519,607,17,590
2,Middle,Female,Other,Yes,0,78,8,70,65,4,61
2,Middle,Female,Other,Yes,1,10,0,10,5,0,5
2,Middle,Female,White,No,0,1502,59,1443,1529,51,1478
2,Middle,Female,White,No,1,154,6,148,165,2,163
2,Middle,Female,White,Yes,0,305,16,289,349,7,342
2,Middle,Female,White,Yes,1,10,3,7,10,0,10
2,Middle,Male,Black,No,0,2211,40,2171,2939,80,2859
2,Middle,Male,Black,No,1,360,22,338,525,9,516
2,Middle,Male,Black,Yes,0,1092,37,1055,1261,47,1214
2,Middle,Male,Black,Yes,1,70,0,70,60,2,58
2,Middle,Male,Hispanic,No,0,313,32,281,471,20,451
2,Middle,Male,Hispanic,No,1,198,5,193,170,1,169
2,Middle,Male,Hispanic,Yes,0,193,23,170,205,8,197
2,Middle,Male,Hispanic,Yes,1,76,17,59,140,7,133
2,Middle,Male,Other,No,0,345,25,320,404,16,388
2,Middle,Male,Other,No,1,580,36,544,603,17,586
2,Middle,Male,Other,Yes,0,94,3,91,95,4,91
2,Middle,Male,Other,Yes,1,55,1,54,70,2,68
2,Middle,Male,White,No,0,1520,43,1477,1447,34,1413
2,Middle,Male,White,No,1,164,12,152,230,7,223
2,Middle,Male,White,Yes,0,595,38,557,792,27,765
2,Middle,Male,White,Yes,1,15,0,15,5,0,5
2,Other,Female,Black,No,0,2459,236,2223,2724,188,2536
2,Other,Female,Black,No,1,110,6,104,130,11,119
2,Other,Female,Black,Yes,0,366,47,319,358,25,333
2,Other,Female,Black,Yes,1,10,0,10,10,0,10
2,Other,Female,Hispanic,No,0,809,113,696,825,72,753
2,Other,Female,Hispanic,No,1,932,126,806,928,101,827
2,Other,Female,Hispanic,Yes,0,87,9,78,105,20,85
2,Other,Female,Hispanic,Yes,1,209,32,177,205,35,170
2,Other,Female,Other,No,0,289,39,250,389,28,361
2,Other,Female,Other,No,1,165,4,161,205,7,198
2,Other,Female,Other,Yes,0,50,6,44,55,3,52
2,Other,Female,Other,Yes,1,15,5,10,10,0,10
2,Other,Female,White,No,0,738,85,653,845,66,779
2,Other,Female,White,No,1,60,3,57,65,6,59
2,Other,Female,White,Yes,0,146,3,143,218,27,191
2,Other,Female,White,Yes,1,10,5,5,10,3,7
2,Other,Male,Black,No,0,2364,174,2190,2643,186,2457
2,Other,Male,Black,No,1,105,5,100,175,13,162
2,Other,Male,Black,Yes,0,913,91,822,883,90,793
2,Other,Male,Black,Yes,1,20,5,15,30,0,30
2,Other,Male,Hispanic,No,0,714,85,629,696,61,635
2,Other,Male,Hispanic,No,1,950,143,807,908,96,812
2,Other,Male,Hispanic,Yes,0,270,46,224,289,36,253
2,Other,Male,Hispanic,Yes,1,537,57,480,530,67,463
2,Other,Male,Other,No,0,258,29,229,379,26,353
2,Other,Male,Other,No,1,151,2,149,175,8,167
2,Other,Male,Other,Yes,0,141,15,126,140,14,126
2,Other,Male,White,No,0,867,86,781,923,69,854
2,Other,Male,White,No,1,36,6,30,50,10,40
2,Other,Male,White,Yes,0,475,54,421,465,51,414
2,Other,Male,White,Yes,1,20,3,17,35,5,30
3,Elementary,Female,Black,No,0,8172,666,7506,7697,564,7133
3,Elementary,Female,Black,No,1,1045,82,963,1154,94,1060
3,Elementary,Female,Black,Yes,0,1486,116,1370,1404,136,1268
3,Elementary,Female,Black,Yes,1,45,1,44,35,1,34
3,Elementary,Female,Hispanic,No,0,1305,139,1166,1285,116,1169
3,Elementary,Female,Hispanic,No,1,384,41,343,313,23,290
3,Elementary,Female,Hispanic,Yes,0,267,29,238,250,20,230
3,Elementary,Female,Hispanic,Yes,1,125,21,104,135,13,122
3,Elementary,Female,Other,No,0,1948,169,1779,2131,210,1921
3,Elementary,Female,Other,No,1,1375,116,1259,1392,89,1303
3,Elementary,Female,Other,Yes,0,322,51,271,357,38,319
3,Elementary,Female,Other,Yes,1,45,5,40,65,3,62
3,Elementary,Female,White,No,0,4174,318,3856,3872,313,3559
3,Elementary,Female,White,No,1,419,32,387,435,38,397
3,Elementary,Female,White,Yes,0,1123,117,1006,1016,104,912
3,Elementary,Female,White,Yes,1,25,1,24,20,0,20
3,Elementary,Male,Black,No,0,7429,578,6851,7071,497,6574
3,Elementary,Male,Black,No,1,1067,93,974,1076,77,999
3,Elementary,Male,Black,Yes,0,3136,291,2845,3182,213,2969
3,Elementary,Male,Black,Yes,1,160,14,146,140,7,133
3,Elementary,Male,Hispanic,No,0,1216,93,1123,1250,119,1131
3,Elementary,Male,Hispanic,No,1,383,23,360,390,41,349
3,Elementary,Male,Hispanic,Yes,0,450,40,410,492,57,435
3,Elementary,Male,Hispanic,Yes,1,175,19,156,145,14,131
3,Elementary,Male,Other,No,0,1774,181,1593,1941,169,1772
3,Elementary,Male,Other,No,1,1576,133,1443,1699,88,1611
3,Elementary,Male,Other,Yes,0,613,82,531,693,75,618
3,Elementary,Male,Other,Yes,1,100,8,92,95,9,86
3,Elementary,Male,White,No,0,3482,342,3140,3247,280,2967
3,Elementary,Male,White,No,1,448,32,416,514,62,452
3,Elementary,Male,White,Yes,0,2066,186,1880,1839,143,1696
3,Elementary,Male,White,Yes,1,45,3,42,55,1,54
3,High,Female,Black,No,0,4094,347,3747,4030,232,3798
3,High,Female,Black,No,1,614,34,580,672,9,663
3,High,Female,Black,Yes,0,858,94,764,855,52,803
3,High,Female,Black,Yes,1,65,2,63,70,1,69
