"","School.x","BEDS","District","County","num.outlets","pbfreeBuildings","samplingComplete","completionDate","outletsOver15","outletsUnder15","oos","street","city","state","address","School.y","short"
"33","JORDAN ELBRIDGE HIGH SCHOOL",420501060003,"JORDAN ELBRIDGE CENTRAL SCHOOL","Onondaga",70,"No","No","",29,3,"Yes","5721 Hamilton Rd","Jordan","NY","5721 Hamilton Rd, Jordan, NY","Jordan-elbridge High School","High School"
"34","JORDAN ELBRIDGE MS",420501060004,"JORDAN ELBRIDGE CENTRAL SCHOOL","Onondaga",89,"No","No","",41,1,"Yes","9 CHAPPELL ST","JORDAN","NY","9 CHAPPELL ST, JORDAN, NY","Jordan-elbridge Middle School","Elementary/Middle"
"35","WESTHILL S H S",420701060001,"WESTHILL CENTRAL SCHOOL","Onondaga",124,"No","Yes","10/20/2016",113,10,"Yes","4501 ONONDAGA BLVD","SYRACUSE","NY","4501 ONONDAGA BLVD, SYRACUSE, NY","Westhill High School","High School"
"36","CHERRY ROAD ELEM SCHOOL",420701060002,"WESTHILL CENTRAL SCHOOL","Onondaga",104,"No","Yes","9/22/2016",95,9,"Yes","201 CHERRY RD","SYRACUSE","NY","201 CHERRY RD, SYRACUSE, NY","Cherry Road Elementary School","Elementary/Middle"
"37","WALBERTA PARK PRIMARY SCHOOL",420701060003,"WESTHILL CENTRAL SCHOOL","Onondaga",78,"No","Yes","9/22/2016",72,6,"Yes","400 WALBERTA RD","SYRACUSE","NY","400 WALBERTA RD, SYRACUSE, NY","Walberta Park Primary School","Elementary/Middle"
"38","ONONDAGA HILL MIDDLE SCHOOL",420701060004,"WESTHILL CENTRAL SCHOOL","Onondaga",111,"No","Yes","9/28/2016",108,3,"Yes","4860 ONONDAGA RD","SYRACUSE","NY","4860 ONONDAGA RD, SYRACUSE, NY","Onondaga Hill Middle School","Elementary/Middle"
"39","SOLVAY ELEM SCHOOL",420702030001,"SOLVAY UNION FREE SCHOOL","Onondaga",78,"No","Yes","9/29/2016",76,2,"Yes","701 WOODS RD","SOLVAY","NY","701 WOODS RD, SOLVAY, NY","Solvay Elementary School","Elementary/Middle"
"40","SOLVAY H S",420702030004,"SOLVAY UNION FREE SCHOOL","Onondaga",41,"No","Yes","10/25/2016",47,0,"Yes","600 GERTRUDE AVE","SOLVAY","NY","600 GERTRUDE AVE, SOLVAY, NY","Solvay High School","High School"
"41","SOLVAY MIDDLE SCHOOL",420702030007,"SOLVAY UNION FREE SCHOOL","Onondaga",53,"No","Yes","9/29/2016",53,0,"Yes","299 BURY DRIVE","SYRACUSE","NY","299 BURY DRIVE, SYRACUSE, NY","Solvay Middle School","Elementary/Middle"
"42","ONONDAGA NATION SCH",420807040002,"LA FAYETTE CENTRAL SCHOOL","Onondaga",50,"No","Yes","9/24/2016",53,0,"No","RD 1-BOX 270","NEDROW","NY","RD 1-BOX 270, NEDROW, NY","Onondaga Nation School","Elementary/Middle"
